ID	Class	Pretest	Posttest
C101	C1	7.0	5.0
C102	C1	4.7	3.7
C103	C1	7.7	8.3
C104	C1	6.3	6.0
C105	C1	5.7	4.0
C106	C1	7.0	4.0
C107	C1	6.3	7.0
C108	C1	6.0	8.3
C109	C1	5.7	4.3
C110	C1	7.3	3.7
C111	C1	3.7	4.7
C112	C1	5.3	6.3
C113	C1	7.7	6.3
C114	C1	5.3	5.3
C115	C1	5.0	2.7
C116	C1	5.0	3.7
C117	C1	6.7	6.0
C118	C1	8.0	4.3
C119	C1	6.0	5.7
C201	C2	6.7	7.0
C202	C2	7.7	5.7
C203	C2	9.0	6.3
C204	C2	8.3	6.0
C205	C2	8.7	6.7
C206	C2	4.7	6.0
C207	C2	7.7	7.3
C208	C2	6.3	4.3
C209	C2	5.7	3.0
C210	C2	6.0	5.0
C211	C2	6.0	6.3
C212	C2	7.7	6.0
C213	C2	8.7	8.0
C214	C2	7.3	9.7
C215	C2	7.3	4.3
C216	C2	7.7	8.3
C217	C2	7.0	6.3
C218	C2	9.0	8.3
C219	C2	7.3	6.7
C301	C3	8.0	4.0
C302	C3	7.0	8.0
C303	C3	2.0	3.0
C304	C3	6.0	6.0
C305	C3	8.0	8.0
C306	C3	6.0	4.0
C307	C3	8.0	7.0
C308	C3	7.0	0.0
C309	C3	7.0	5.0
C310	C3	4.0	4.0
C311	C3	6.0	6.0
C312	C3	8.0	8.0
C313	C3	8.0	8.0
C314	C3	6.0	4.0
