Student	Test	Class	Scale	MResponse
1	Pre	C-2	A	2.66666666666667
2	Pre	C-3	A	1.88888888888889
3	Pre	C-1	A	2.55555555555556
5	Pre	C-2	A	2.77777777777778
6	Pre	C-3	A	2
8	Pre	C-2	A	1.88888888888889
9	Pre	C-3	A	2.88888888888889
10	Pre	C-3	A	2
12	Pre	C-3	A	2.66666666666667
13	Pre	C-3	A	2.66666666666667
14	Pre	C-1	A	2
15	Pre	C-3	A	2.66666666666667
16	Pre	C-3	A	2
17	Pre	C-1	A	2.66666666666667
18	Pre	C-1	A	2.88888888888889
19	Pre	C-1	A	2.33333333333333
20	Pre	C-1	A	2.22222222222222
21	Pre	C-3	A	3
22	Pre	C-2	A	2.33333333333333
23	Pre	C-1	A	1.44444444444444
24	Pre	C-3	A	1.77777777777778
25	Pre	C-1	A	4.44444444444444
26	Pre	C-2	A	3.11111111111111
27	Pre	C-1	A	2.11111111111111
28	Pre	C-1	A	2.77777777777778
29	Pre	C-1	A	3.66666666666667
30	Pre	C-3	A	2.55555555555556
31	Pre	C-2	A	1.33333333333333
32	Pre	C-1	A	2.44444444444444
33	Pre	C-2	A	1.88888888888889
35	Pre	C-2	A	3.22222222222222
36	Pre	C-1	A	3.55555555555556
37	Pre	C-1	A	2.88888888888889
38	Pre	C-2	A	2.66666666666667
39	Pre	C-2	A	2.44444444444444
40	Pre	C-3	A	1.55555555555556
41	Pre	C-2	A	3.33333333333333
42	Pre	C-2	A	2.44444444444444
43	Pre	C-3	A	2.11111111111111
44	Pre	C-2	A	2.88888888888889
45	Pre	C-2	A	3
46	Pre	C-3	A	2.11111111111111
47	Pre	C-2	A	3.11111111111111
48	Pre	C-3	A	2.55555555555556
49	Pre	C-1	A	2.44444444444444
50	Pre	C-2	A	3.88888888888889
51	Pre	C-2	A	3.22222222222222
1	Post	C-2	A	2.55555555555556
2	Post	C-3	A	3.77777777777778
3	Post	C-1	A	2.22222222222222
5	Post	C-2	A	3.33333333333333
6	Post	C-3	A	2.33333333333333
8	Post	C-2	A	2.88888888888889
9	Post	C-3	A	3
10	Post	C-3	A	2.33333333333333
12	Post	C-3	A	2.77777777777778
13	Post	C-3	A	3.44444444444444
14	Post	C-1	A	2.88888888888889
15	Post	C-3	A	3
16	Post	C-3	A	1.88888888888889
17	Post	C-1	A	3.22222222222222
18	Post	C-1	A	4.22222222222222
19	Post	C-1	A	3
20	Post	C-1	A	2.77777777777778
21	Post	C-3	A	4.77777777777778
22	Post	C-2	A	3.33333333333333
23	Post	C-1	A	3
24	Post	C-3	A	2.55555555555556
25	Post	C-1	A	4.33333333333333
26	Post	C-2	A	3.11111111111111
27	Post	C-1	A	3.55555555555556
28	Post	C-1	A	2.77777777777778
29	Post	C-1	A	4
30	Post	C-3	A	3.11111111111111
31	Post	C-2	A	2
32	Post	C-1	A	2.33333333333333
33	Post	C-2	A	2.66666666666667
35	Post	C-2	A	3
36	Post	C-1	A	1.88888888888889
37	Post	C-1	A	3.11111111111111
38	Post	C-2	A	2.88888888888889
39	Post	C-2	A	1.66666666666667
