Student	Test	Class	Mem	Cog	Comp	Metacog	Affect	Soc
1	Pre	A-2	24	40	20	26	17	14
2	Pre	A-23	17	23	15	12	8	12
3	Pre	A-1	23	41	19	35	19	18
5	Pre	A-2	25	37	15	25	17	14
6	Pre	A-23	18	24	13	19	10	9
8	Pre	A-2	17	31	20	24	11	11
9	Pre	A-23	26	34	14	23	12	11
10	Pre	A-23	18	27	17	21	10	15
12	Pre	A-23	24	33	17	23	13	14
13	Pre	A-23	24	33	17	20	15	13
14	Pre	A-1	18	31	22	21	8	11
15	Pre	A-23	24	34	16	27	8	16
16	Pre	A-23	18	23	16	15	10	16
17	Pre	A-1	24	52	22	37	17	18
18	Pre	A-1	26	45	20	35	20	23
19	Pre	A-1	21	33	15	22	13	13
20	Pre	A-1	20	38	18	23	13	14
21	Pre	A-23	27	37	17	29	15	18
22	Pre	A-2	21	42	19	24	15	14
23	Pre	A-1	13	30	16	22	11	13
24	Pre	A-23	16	23	18	19	12	14
25	Pre	A-1	40	53	25	37	22	24
26	Pre	A-2	28	44	20	30	15	17
27	Pre	A-1	19	39	19	24	13	18
28	Pre	A-1	25	38	20	25	17	12
29	Pre	A-1	33	61	22	39	17	22
30	Pre	A-23	23	33	20	21	17	16
31	Pre	A-2	12	25	13	11	8	6
32	Pre	A-1	22	33	16	20	9	15
33	Pre	A-2	17	39	17	25	10	14
35	Pre	A-2	29	55	25	40	24	25
36	Pre	A-1	32	49	22	33	19	19
37	Pre	A-1	26	44	18	23	15	16
38	Pre	A-2	24	45	23	30	21	13
39	Pre	A-2	22	29	19	24	12	20
40	Pre	A-23	14	22	8	10	6	8
41	Pre	A-2	30	50	18	40	17	23
42	Pre	A-2	22	38	21	24	10	15
43	Pre	A-23	19	27	17	19	13	13
44	Pre	A-2	26	40	23	33	17	18
45	Pre	A-2	27	48	20	27	16	13
46	Pre	A-23	19	23	18	20	11	13
47	Pre	A-2	28	48	16	27	13	10
48	Pre	A-23	23	35	17	25	15	18
49	Pre	A-1	22	31	17	26	15	15
50	Pre	A-2	35	54	25	35	23	26
51	Pre	A-2	29	40	19	27	16	17
1	Post	A-2	23	42	18	22	16	14
2	Post	A-23	34	44	18	25	17	23
3	Post	A-1	20	41	19	32	17	19
5	Post	A-2	30	43	21	27	18	13
6	Post	A-23	21	31	17	23	12	15
8	Post	A-2	26	47	10	27	22	22
9	Post	A-23	27	40	18	24	20	18
10	Post	A-23	21	35	21	27	13	23
12	Post	A-23	25	38	17	31	16	14
13	Post	A-23	31	36	22	23	17	20
14	Post	A-1	26	35	22	16	15	12
15	Post	A-23	27	38	16	24	14	13
16	Post	A-23	17	36	17	15	8	15
17	Post	A-1	29	46	22	32	20	18
18	Post	A-1	38	55	24	35	24	25
19	Post	A-1	27	42	16	28	16	17
20	Post	A-1	25	43	24	27	16	14
21	Post	A-23	43	68	25	44	27	28
22	Post	A-2	30	54	22	34	17	19
23	Post	A-1	27	49	20	32	16	21
24	Post	A-23	23	30	18	20	16	16
25	Post	A-1	39	56	25	39	21	27
26	Post	A-2	28	42	20	26	13	16
27	Post	A-1	32	41	21	25	12	16
28	Post	A-1	25	38	19	24	16	14
29	Post	A-1	36	59	23	44	20	19
30	Post	A-23	28	39	21	26	18	21
31	Post	A-2	18	25	14	14	9	13
32	Post	A-1	21	34	17	20	11	14
33	Post	A-2	24	38	19	25	13	16
35	Post	A-2	27	47	18	24	14	10
36	Post	A-1	17	23	11	22	16	12
37	Post	A-1	28	47	18	28	15	18
38	Post	A-2	26	49	25	31	19	18
39	Post	A-2	15	30	17	20	9	12
40	Post	A-23	29	44	22	31	14	17
41	Post	A-2	32	48	21	34	20	21
42	Post	A-2	22	34	17	23	13	13
43	Post	A-23	31	42	23	29	17	22
44	Post	A-2	18	46	23	32	19	20
45	Post	A-2	29	51	24	30	17	20
46	Post	A-23	24	34	15	27	16	17
47	Post	A-2	24	56	21	32	14	16
48	Post	A-23	27	48	20	29	16	20
49	Post	A-1	27	41	23	31	16	18
50	Post	A-2	38	59	25	30	15	25
51	Post	A-2	30	49	27	24	18	22
